127.0.0.1 - - [13/Jan/2022:21:19:17 +0900] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jan/2022:21:19:17 +0900] "GET /spring/ HTTP/1.1" 200 3820
0:0:0:0:0:0:0:1 - - [13/Jan/2022:21:19:17 +0900] "GET /spring/resources/images/logo-spring.png HTTP/1.1" 200 10513
0:0:0:0:0:0:0:1 - - [13/Jan/2022:21:19:17 +0900] "GET /spring/resources/css/style.css HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [13/Jan/2022:21:19:35 +0900] "GET /spring/menu/menu.do HTTP/1.1" 200 14850
0:0:0:0:0:0:0:1 - - [13/Jan/2022:21:20:13 +0900] "GET /spring/menu/menu.do HTTP/1.1" 200 14850
0:0:0:0:0:0:0:1 - - [13/Jan/2022:21:21:19 +0900] "GET /spring/menu/menu.do HTTP/1.1" 200 14850
0:0:0:0:0:0:0:1 - - [13/Jan/2022:21:21:56 +0900] "GET /spring/menu/menu.do HTTP/1.1" 200 14850
0:0:0:0:0:0:0:1 - - [13/Jan/2022:21:22:09 +0900] "GET /spring/menu/menu.do HTTP/1.1" 200 14850
0:0:0:0:0:0:0:1 - - [13/Jan/2022:21:22:34 +0900] "GET /spring/menu/menu.do HTTP/1.1" 200 14850
0:0:0:0:0:0:0:1 - - [13/Jan/2022:21:32:36 +0900] "GET /spring/menu/menu.do HTTP/1.1" 200 14850
0:0:0:0:0:0:0:1 - - [13/Jan/2022:21:32:54 +0900] "GET /spring/menu/menu.do HTTP/1.1" 200 14850
0:0:0:0:0:0:0:1 - - [13/Jan/2022:21:49:01 +0900] "GET /spring/menu/menu.do HTTP/1.1" 200 14850
0:0:0:0:0:0:0:1 - - [13/Jan/2022:21:51:20 +0900] "GET /spring/menu/menu.do HTTP/1.1" 200 14850
0:0:0:0:0:0:0:1 - - [13/Jan/2022:21:51:40 +0900] "GET /spring/menu/menu.do HTTP/1.1" 200 14850
