127.0.0.1 - - [12/Nov/2021:16:40:00 +0900] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Nov/2021:16:40:06 +0900] "GET /mvc/ HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [12/Nov/2021:16:40:06 +0900] "GET /mvc/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2021:16:40:06 +0900] "GET /mvc/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [12/Nov/2021:16:40:07 +0900] "GET /mvc/images/Java-Servlets-JSP.png HTTP/1.1" 200 36466
0:0:0:0:0:0:0:1 - - [12/Nov/2021:16:40:18 +0900] "POST /mvc/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2021:16:40:18 +0900] "GET /mvc/ HTTP/1.1" 200 1403
0:0:0:0:0:0:0:1 - - [12/Nov/2021:16:40:22 +0900] "GET /mvc/board/boardList HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [12/Nov/2021:16:40:22 +0900] "GET /mvc/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2021:16:40:22 +0900] "GET /mvc/images/file.png HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [12/Nov/2021:16:40:24 +0900] "GET /mvc/board/boardForm HTTP/1.1" 200 2811
