127.0.0.1 - - [05/Dec/2021:05:02:02 +0900] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:02:04 +0900] "GET /mvc/board/boardList HTTP/1.1" 200 4372
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:02:04 +0900] "GET /mvc/board/boardForm HTTP/1.1" 500 325
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:02:07 +0900] "GET /mvc/board/boardForm HTTP/1.1" 500 325
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:02:08 +0900] "GET /mvc/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:02:08 +0900] "GET /mvc/ HTTP/1.1" 200 2660
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:02:08 +0900] "GET /mvc/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:02:08 +0900] "GET /mvc/css/style.css HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:02:08 +0900] "GET /mvc/images/Java-Servlets-JSP.png HTTP/1.1" 200 36466
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:02:11 +0900] "POST /mvc/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:02:11 +0900] "GET /mvc/ HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:02:16 +0900] "GET /mvc/board/boardList HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:02:16 +0900] "GET /mvc/images/file.png HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:02:16 +0900] "GET /mvc/css/board.css HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:02:17 +0900] "GET /mvc/board/boardForm HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [05/Dec/2021:05:03:00 +0900] "GET /5t1b/board/boardForm HTTP/1.1" 404 820
